"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"62","RT @ArtistTracy10: @peakdistrict @BevsfitnessUk ooooo soon be walking pass this exciting <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/ROewNkkzrQ",FALSE,0,NA,2015-12-15 15:38:02,FALSE,NA,"676788312309387264",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JoannaSormunen",7,TRUE,FALSE,NA,NA
"63","RT @PollardRoy: Burbage Valley with Over Owler Tor and Winyards Nick in the middle distance #peakdistrict https://t.co/HXtReOKRb2",FALSE,0,NA,2015-12-15 15:29:46,FALSE,NA,"676786234170150912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helenpearson90",7,TRUE,FALSE,NA,NA
"64","RT @ArtistTracy10: @peakdistrict @BevsfitnessUk ooooo soon be walking pass this exciting <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/ROewNkkzrQ",FALSE,0,NA,2015-12-15 15:29:23,FALSE,NA,"676786137285939200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helenpearson90",7,TRUE,FALSE,NA,NA
"65","Final day in the peak district brings fog! #fire #peakdistrict @ Buxton Peak District https://t.co/PZtNMiy81p",FALSE,0,NA,2015-12-15 15:29:15,FALSE,NA,"676786103949656064",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hwpearson",0,FALSE,FALSE,"-1.91248245","53.25811774"
"66","RT @ArtistTracy10: @peakdistrict @BevsfitnessUk ooooo soon be walking pass this exciting <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/ROewNkkzrQ",FALSE,0,NA,2015-12-15 15:28:07,FALSE,NA,"676785818124599296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saeeddaniel",7,TRUE,FALSE,NA,NA
"67","RT @PollardRoy: Burbage Valley with Over Owler Tor and Winyards Nick in the middle distance #peakdistrict https://t.co/HXtReOKRb2",FALSE,0,NA,2015-12-15 15:26:14,FALSE,NA,"676785343287439360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saeeddaniel",7,TRUE,FALSE,NA,NA
"68","Can't wait for snow in the peaks again. #snow #peakdistrict #sheffield https://t.co/bjo2RdiOFi",FALSE,1,NA,2015-12-15 14:50:54,FALSE,NA,"676776449295196162",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","talithaDRC",0,FALSE,FALSE,NA,NA
"69","#picnic at #kinderdownfall few years ago #kinderscout #peakdistrict #darkpeak brilliant spot @… https://t.co/Yoz4OyQ3eT",FALSE,0,NA,2015-12-15 14:49:02,FALSE,NA,"676775982951477252",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TimPrevett",0,FALSE,FALSE,NA,NA
"70","RT @ChillTuup: More nature and stuff <ed><U+00A0><U+00BC><ed><U+00BC><U+00B3><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB> #LiveChill #Dovedale #PeakDistrict #derbyshire #England #mountains… https://t.co/fHwjR5uS2G",FALSE,0,NA,2015-12-15 14:37:33,FALSE,NA,"676773092543320064",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","DerbyshireTweet",2,TRUE,FALSE,NA,NA
"71","RT @MarkSweens: Under the bridge #hiking #nature #peakdistrict #derbyshire #slipperystones https://t.co/IBFWX4uOeP",FALSE,0,NA,2015-12-15 14:27:39,FALSE,NA,"676770601407746048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FGelinasQC",26,TRUE,FALSE,NA,NA
"72","New wheelchair bike promises miles of smiles in the Peak District National Park - https://t.co/nNPOE1BzzW",FALSE,0,NA,2015-12-15 14:14:26,FALSE,NA,"676767275094024192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ENdynamicsltd",0,FALSE,FALSE,NA,NA
"73","RT @danscapephoto: • evaporate • Ladybower Reservoir. #peakdistrict #peakscollective #lovegreatbritain #lovetheworld #bbctravel #gtaro… htt…",FALSE,0,NA,2015-12-15 14:10:40,FALSE,NA,"676766324153065473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SHASHI_Lalit",63,TRUE,FALSE,NA,NA
"74","RT @PeacockRowsley: The #PeakDistrict in winter is a more peaceful way to see Britain's best landscapes: https://t.co/RRxYE1w7Gf https://t.…",FALSE,0,NA,2015-12-15 14:03:15,FALSE,NA,"676764461529759746",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MdcTwell",6,TRUE,FALSE,NA,NA
"75","RT @YHAYoulgreave: As much as we try we can't always provide a stunning view @YHAOfficial @peakdistrict  #misty  #Mist https://t.co/u7bfp42…",FALSE,0,NA,2015-12-15 13:59:57,FALSE,NA,"676763628448702464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YHALeominster",4,TRUE,FALSE,NA,NA
"76","RT @YHAYoulgreave: As much as we try we can't always provide a stunning view @YHAOfficial @peakdistrict  #misty  #Mist https://t.co/u7bfp42…",FALSE,0,NA,2015-12-15 13:56:01,FALSE,NA,"676762640962691073",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mlandsconnect",4,TRUE,FALSE,NA,NA
"77","RT @Lowrangers2012: Mad Horse Disease - It's spreading folks so take care out there! https://t.co/MY4911WInR #landrover #peakdistrict #peak…",FALSE,0,NA,2015-12-15 13:52:38,FALSE,NA,"676761787203756032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","derbyshireprom1",1,TRUE,FALSE,NA,NA
"78","RT @audiotrails: Free virtual museum app with walking trails for the @peakdistrict https://t.co/DugTzc4mAx 
@peakinfocentres @PeakDistrictU…",FALSE,0,NA,2015-12-15 13:52:27,FALSE,NA,"676761741540372480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","derbyshireprom1",1,TRUE,FALSE,NA,NA
